資訊時間,成交時間,商品代號,ITEM,成交價,成交量,總量,買單量,賣單量
8450397,8450386,TXFE7,128,9903,1,1591,475,752
8450397,8450391,TXFE7,128,9904,1,1592,476,753
8450409,8450399,TXFE7,128,9905,5,1597,477,754
8450409,8450403,TXFE7,128,9905,1,1598,478,755
8450409,8450405,TXFE7,128,9905,24,1622,479,756
8450422,8450409,TXFE7,128,9905,3,1625,480,757
8450422,8450411,TXFE7,128,9904,1,1626,481,758
8450422,8450413,TXFE7,128,9904,1,1627,482,759
8450422,8450418,TXFE7,128,9904,1,1628,483,760
8450434,8450431,TXFE7,128,9905,8,1636,484,764
8450447,8450438,TXFE7,128,9904,1,1637,485,765
8450447,8450442,TXFE7,128,9905,5,1642,486,770
8450447,8450443,TXFE7,128,9904,1,1643,487,771
8450447,8450445,TXFE7,129,9904,18,1673,495,772
8450447,8450445,TXFE7,129,9903,12,1673,495,772
8450447,8450446,TXFE7,128,9905,4,1677,496,776
8450459,8450450,TXFE7,128,9904,1,1678,497,777
8450459,8450450,TXFE7,128,9905,1,1679,498,778
8450459,8450451,TXFE7,128,9904,1,1680,499,779
8450459,8450454,TXFE7,128,9904,3,1683,500,780
8450459,8450455,TXFE7,128,9905,3,1686,501,783
8450459,8450456,TXFE7,128,9904,1,1687,502,784
8450459,8450456,TXFE7,128,9903,2,1689,503,785
8450472,8450468,TXFE7,128,9904,1,1690,504,786
8450484,8450472,TXFE7,128,9904,5,1695,505,788
8450484,8450475,TXFE7,128,9903,2,1697,506,789
8450484,8450476,TXFE7,129,9904,3,1701,507,792
8450484,8450476,TXFE7,129,9905,1,1701,507,792
8450484,8450481,TXFE7,128,9903,2,1703,509,793
8450497,8450485,TXFE7,128,9903,4,1707,512,794
8450497,8450487,TXFE7,128,9903,2,1709,513,795
8450497,8450489,TXFE7,129,9904,5,1724,514,802
8450497,8450489,TXFE7,129,9905,10,1724,514,802
8450497,8450490,TXFE7,128,9905,1,1725,515,803
8450497,8450494,TXFE7,128,9904,1,1726,516,804
8450497,8450496,TXFE7,129,9903,4,1738,519,805
8450497,8450496,TXFE7,129,9902,8,1738,519,805
8450509,8450497,TXFE7,128,9903,1,1739,520,806
8450509,8450500,TXFE7,128,9903,3,1742,521,807
8450509,8450504,TXFE7,128,9902,1,1743,522,808
8450509,8450506,TXFE7,128,9903,1,1744,523,809
8450509,8450507,TXFE7,128,9904,1,1745,524,810
8450509,8450507,TXFE7,129,9903,1,1750,526,811
8450509,8450507,TXFE7,129,9902,4,1750,526,811
8450522,8450517,TXFE7,129,9903,5,1764,527,818
8450522,8450517,TXFE7,129,9904,9,1764,527,818
8450522,8450518,TXFE7,128,9902,1,1765,528,819
8450522,8450520,TXFE7,128,9902,1,1766,529,820
8450522,8450521,TXFE7,128,9904,1,1767,530,821
8450534,8450522,TXFE7,128,9904,1,1768,531,822
8450534,8450524,TXFE7,128,9904,1,1769,532,823
8450534,8450533,TXFE7,128,9903,1,1770,533,824
8450534,8450533,TXFE7,128,9903,1,1771,534,825
8450547,8450538,TXFE7,128,9904,2,1773,535,827
8450547,8450538,TXFE7,128,9904,2,1775,536,829
8450547,8450540,TXFE7,128,9904,1,1776,537,830
8450547,8450540,TXFE7,128,9903,1,1777,538,831
8450547,8450541,TXFE7,128,9904,2,1779,539,833
